children__name,children__children__name,children__children__value,children__children__pct_sw,children__children__pct_robot,children__children__pct_ai,children__children__pct_sw_g,children__children__pct_robot_g,children__children__pct_ai_g,children__children__coloring,children__colname,name
,Career/technical education teachers postsecondary    ,124100,1,3,1,very low,very low,very low,very low,,
,Clergy    ,243900,5,1,2,very low,very low,very low,very low,,
,Agents and business managers of artists performers and athletes    ,21900,9,25,28,very low,low,low,low,,
,Market research analysts and marketing specialists    ,738100,49,26,87,low to medium,low,very high,very high,,
,Nuclear engineers    ,16400,75,52,90,high,medium to high,very high,very high,,
,Fine artists including painters sculptors and illustrators    ,28300,66,33,52,medium to high,low,medium to high,medium to high,,
,Education administrators all other,52100,26,13,63,low,very low,medium to high,medium to high,,
,Medical and health services managers    ,422300,71,35,84,high,low to medium,very high,very high,,
,Environmental scientists and specialists including health    ,90900,59,25,91,medium to high,low,very high,very high,,
,Property appraisers and assessors,75100,60,33,88,medium to high,low,very high,very high,,
,Electrical engineers    ,193100,74,52,87,high,medium to high,very high,very high,,
,Personal financial advisors    ,263000,37,16,81,low to medium,very low,high,high,,
,Meeting convention and event planners    ,138600,50,26,68,low to medium,low,high,high,,
,Financial and investment analysts financial risk specialists and financial specialists all other,487800,37,16,81,low to medium,very low,high,high,,
,Compensation and benefits managers    ,18000,21,7,75,low,very low,high,high,,
,Dietitians and nutritionists    ,74200,24,19,54,low,low,medium to high,medium to high,,
,Museum technicians and conservators    ,14800,7,13,28,very low,very low,low,low,,
Doctoral or Master's degree,Political scientists    ,7000,59,41,87,medium to high,low to medium,very high,very high,level2,
,Health specialties teachers postsecondary    ,254000,1,3,1,very low,very low,very low,very low,,
,Family and consumer sciences teachers postsecondary    ,2500,1,3,1,very low,very low,very low,very low,,
,Speech-language pathologists    ,162600,59,25,59,medium to high,low,medium to high,medium to high,,
,Mental health and substance abuse social workers    ,123200,20,17,60,low,low,medium to high,medium to high,,
,Judicial law clerks    ,17300,40,16,79,low to medium,very low,high,high,,
,General internal medicine physicians,49500,,,,,,,,,
,Area ethnic and cultural studies teachers postsecondary    ,13400,1,3,1,very low,very low,very low,very low,,
,Industrial-organizational psychologists    ,1100,30,11,85,low,very low,very high,very high,,
,Physics teachers postsecondary    ,17100,1,3,1,very low,very low,very low,very low,,
,Survey researchers    ,12200,49,26,87,low to medium,low,very high,very high,,
,Statisticians    ,42700,62,18,89,medium to high,low,very high,very high,,
,Marriage and family therapists    ,66200,17,9,40,low,very low,low to medium,low to medium,,
,Veterinarians    ,89200,70,59,85,high,medium to high,very high,very high,,
,Medical scientists except epidemiologists    ,138300,59,25,93,medium to high,low,very high,very high,,
,Occupational therapists    ,143300,72,49,93,high,low to medium,very high,very high,,
,Chemistry teachers postsecondary    ,26400,1,3,1,very low,very low,very low,very low,,
,Epidemiologists    ,8000,59,25,93,medium to high,low,very high,very high,,
,History teachers postsecondary    ,26000,1,3,1,very low,very low,very low,very low,,
,English language and literature teachers postsecondary    ,81300,1,3,1,very low,very low,very low,very low,,
,Mathematical science teachers postsecondary    ,60100,1,3,1,very low,very low,very low,very low,,
,Mathematicians    ,2900,62,18,89,medium to high,low,very high,very high,,
,Computer and information research scientists,32700,,,,,,,,,
,Psychiatrists,27900,,,,,,,,,
,Anesthesiologists,33800,,,,,,,,,
,Orthotists and prosthetists    ,10000,39,52,42,low to medium,medium to high,low to medium,low to medium,,
,Counselors all other    ,29100,17,9,40,low,very low,low to medium,low to medium,,
,Healthcare social workers    ,185000,20,17,60,low,low,medium to high,medium to high,,
,Pediatricians general,32500,,,,,,,,,
,Computer science teachers postsecondary    ,38500,1,3,1,very low,very low,very low,very low,,
,Pharmacists    ,321700,24,13,17,low,very low,low,low,,
,Administrative law judges adjudicators and hearing officers    ,15400,40,16,79,low to medium,very low,high,high,,
,Surgeons except ophthalmologists,39600,,,,,,,,,
,Farm and home management educators    ,10400,37,34,55,low to medium,low to medium,medium to high,medium to high,,
,Education administrators postsecondary    ,190500,26,13,63,low,very low,medium to high,medium to high,,
,Physician assistants    ,125500,92,35,24,very high,low to medium,low,low,,
,Law teachers postsecondary    ,21300,1,3,1,very low,very low,very low,very low,,
,Art drama and music teachers postsecondary    ,116300,1,3,1,very low,very low,very low,very low,,
,Physicians all other; and ophthalmologists except pediatric,429500,,,,,,,,,
,Anthropologists and archeologists    ,8000,59,41,87,medium to high,low to medium,very high,very high,,
,Urban and regional planners    ,39700,24,8,84,low,very low,very high,very high,,
,Social sciences teachers postsecondary all other    ,19300,1,3,1,very low,very low,very low,very low,,
,Nurse midwives    ,7200,43,22,78,low to medium,low,high,high,,
,Astronomers    ,2300,75,54,100,high,medium to high,very high,very high,,
,Obstetricians and gynecologists,20300,,,,,,,,,
,Architecture teachers postsecondary    ,8500,1,3,1,very low,very low,very low,very low,,
