children__name,children__children__name,children__children__value,children__children__pct_sw,children__children__pct_robot,children__children__pct_ai,children__children__pct_sw_g,children__children__pct_robot_g,children__children__pct_ai_g,children__children__coloring,children__colname,name
,Religious workers all other    ,65000,,,,,,,,,
,Compliance officers    ,337600,17,22,42,low,low,low to medium,low,,
,Teaching assistants postsecondary,169600,7,33,7,very low,low,very low,low,,
,Tax examiners and collectors and revenue agents    ,57600,13,12,48,very low,very low,low to medium,very low,,
,Property appraisers and assessors,75100,60,33,88,medium to high,low,very high,low,,
,Directors religious activities and education    ,157500,15,8,63,very low,very low,medium to high,very low,,
,Credit analysts    ,74900,37,16,81,low to medium,very low,high,very low,,
,Accountants and auditors    ,1436100,13,12,48,very low,very low,low to medium,very low,,
,Athletic trainers    ,32099.998,39,52,42,low to medium,medium to high,low to medium,medium to high,,
,Aerospace engineers    ,66400,20,36,80,low,low to medium,high,low to medium,,
,Special education teachers kindergarten and elementary school    ,193000,24,25,54,low,low,medium to high,low,,
,Software developers and software quality assurance analysts and testers,1469200,,,,,,,,,
,Cost estimators    ,214200,50,26,68,low to medium,low,high,low,,
,Purchasing managers    ,76900,2,2,23,very low,very low,low,very low,,
,Conservation scientists    ,24500,64,54,77,medium to high,medium to high,high,medium to high,,
,Agents and business managers of artists performers and athletes    ,21900,9,25,28,very low,low,low,low,,
,Hydrologists    ,7000,59,25,91,medium to high,low,very high,low,,
,Clinical laboratory technologists and technicians,337800,87,53,100,very high,medium to high,very high,medium to high,,
,Advertising and promotions managers    ,28600,68,37,82,high,low to medium,high,low to medium,,
,Interior designers    ,77900,59,47,77,medium to high,low to medium,high,low to medium,,
,Legislators    ,53700,,,,,,,,,
,Agricultural inspectors    ,15200,82,67,93,high,high,very high,high,,
,Social workers all other    ,62500,20,17,60,low,low,medium to high,low,,
,Operations research analysts    ,105100,50,19,83,low to medium,low,high,low,,
,Personal financial advisors    ,263000,37,16,81,low to medium,very low,high,very low,,
,Film and video editors    ,38300,84,68,80,very high,high,high,high,,
,Architects except landscape and naval    ,129899.99,67,25,87,high,low,very high,low,,
